name,nationality,description,wikipedia_url,image_url,publisher
J. K. Rowling,British,"Joanne ""Jo"" Rowling, OBE, FRSL, pen names J. K. Rowling and Robert Galbraith, is a British novelist, screenwriter and film producer best known as the author of the Harry Potter fantasy series. ",https://en.wikipedia.org/wiki/J._K._Rowling,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/J._K._Rowling_2010.jpg/220px-J._K._Rowling_2010.jpg,"Pottermore,Bloomsbury Publishing,Scholastic Corporation"
J. K. Rowling,British,"Joanne ""Jo"" Rowling, OBE, FRSL, pen names J. K. Rowling and Robert Galbraith, is a British novelist, screenwriter and film producer best known as the author of the Harry Potter fantasy series. ",https://en.wikipedia.org/wiki/J._K._Rowling,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/J._K._Rowling_2010.jpg/220px-J._K._Rowling_2010.jpg,"Pottermore,Bloomsbury Publishing,Scholastic Corporation"
J. K. Rowling,British,"Joanne ""Jo"" Rowling, OBE, FRSL, pen names J. K. Rowling and Robert Galbraith, is a British novelist, screenwriter and film producer best known as the author of the Harry Potter fantasy series. ",https://en.wikipedia.org/wiki/J._K._Rowling,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/J._K._Rowling_2010.jpg/220px-J._K._Rowling_2010.jpg,"Pottermore,Bloomsbury Publishing,Scholastic Corporation"
J. K. Rowling,British,"Joanne ""Jo"" Rowling, OBE, FRSL, pen names J. K. Rowling and Robert Galbraith, is a British novelist, screenwriter and film producer best known as the author of the Harry Potter fantasy series. ",https://en.wikipedia.org/wiki/J._K._Rowling,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/J._K._Rowling_2010.jpg/220px-J._K._Rowling_2010.jpg,"Pottermore,Bloomsbury Publishing,Scholastic Corporation"
J. K. Rowling,British,"Joanne ""Jo"" Rowling, OBE, FRSL, pen names J. K. Rowling and Robert Galbraith, is a British novelist, screenwriter and film producer best known as the author of the Harry Potter fantasy series. ",https://en.wikipedia.org/wiki/J._K._Rowling,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/J._K._Rowling_2010.jpg/220px-J._K._Rowling_2010.jpg,"Pottermore,Bloomsbury Publishing,Scholastic Corporation"
J. K. Rowling,British,"Joanne ""Jo"" Rowling, OBE, FRSL, pen names J. K. Rowling and Robert Galbraith, is a British novelist, screenwriter and film producer best known as the author of the Harry Potter fantasy series. ",https://en.wikipedia.org/wiki/J._K._Rowling,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/J._K._Rowling_2010.jpg/220px-J._K._Rowling_2010.jpg,"Pottermore,Bloomsbury Publishing,Scholastic Corporation"
J. K. Rowling,British,"Joanne ""Jo"" Rowling, OBE, FRSL, pen names J. K. Rowling and Robert Galbraith, is a British novelist, screenwriter and film producer best known as the author of the Harry Potter fantasy series. ",https://en.wikipedia.org/wiki/J._K._Rowling,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/J._K._Rowling_2010.jpg/220px-J._K._Rowling_2010.jpg,"Pottermore,Bloomsbury Publishing,Scholastic Corporation"
Brandon Sanderson,American,Brandon Sanderson is an American fantasy and science fiction writer. He is best known for his Mistborn series and his work in finishing Robert Jordan's epic fantasy series The Wheel of Time. ,https://en.wikipedia.org/wiki/Brandon_Sanderson,http://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Brandon_Sanderson_sign.jpg/250px-Brandon_Sanderson_sign.jpg,Palgrave Macmillan
Brandon Sanderson,American,Brandon Sanderson is an American fantasy and science fiction writer. He is best known for his Mistborn series and his work in finishing Robert Jordan's epic fantasy series The Wheel of Time. ,https://en.wikipedia.org/wiki/Brandon_Sanderson,http://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Brandon_Sanderson_sign.jpg/250px-Brandon_Sanderson_sign.jpg,Palgrave Macmillan
Brandon Sanderson,American,Brandon Sanderson is an American fantasy and science fiction writer. He is best known for his Mistborn series and his work in finishing Robert Jordan's epic fantasy series The Wheel of Time. ,https://en.wikipedia.org/wiki/Brandon_Sanderson,http://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Brandon_Sanderson_sign.jpg/250px-Brandon_Sanderson_sign.jpg,Palgrave Macmillan
Brandon Sanderson,American,Brandon Sanderson is an American fantasy and science fiction writer. He is best known for his Mistborn series and his work in finishing Robert Jordan's epic fantasy series The Wheel of Time. ,https://en.wikipedia.org/wiki/Brandon_Sanderson,http://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Brandon_Sanderson_sign.jpg/250px-Brandon_Sanderson_sign.jpg,Palgrave Macmillan
Brandon Sanderson,American,Brandon Sanderson is an American fantasy and science fiction writer. He is best known for his Mistborn series and his work in finishing Robert Jordan's epic fantasy series The Wheel of Time. ,https://en.wikipedia.org/wiki/Brandon_Sanderson,http://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Brandon_Sanderson_sign.jpg/250px-Brandon_Sanderson_sign.jpg,Palgrave Macmillan
