name,location,description,wikipedia_url,image_url,website,author
Pottermore,,"Pottermore is the digital publishing, e-commerce, entertainment, and news company from J.K. Rowling and is the global digital publisher of Harry Potter and J.K. Rowling's Wizarding World.",https://en.wikipedia.org/wiki/Pottermore,http://upload.wikimedia.org/wikipedia/en/thumb/6/6f/Pottermore.png/225px-Pottermore.png,http://www.pottermore.com\nshop.pottermore.com,J. K. Rowling
Pottermore,,"Pottermore is the digital publishing, e-commerce, entertainment, and news company from J.K. Rowling and is the global digital publisher of Harry Potter and J.K. Rowling's Wizarding World.",https://en.wikipedia.org/wiki/Pottermore,http://upload.wikimedia.org/wikipedia/en/thumb/6/6f/Pottermore.png/225px-Pottermore.png,http://www.pottermore.com\nshop.pottermore.com,J. K. Rowling
Pottermore,,"Pottermore is the digital publishing, e-commerce, entertainment, and news company from J.K. Rowling and is the global digital publisher of Harry Potter and J.K. Rowling's Wizarding World.",https://en.wikipedia.org/wiki/Pottermore,http://upload.wikimedia.org/wikipedia/en/thumb/6/6f/Pottermore.png/225px-Pottermore.png,http://www.pottermore.com\nshop.pottermore.com,J. K. Rowling
Bloomsbury Publishing,London,"Bloomsbury Publishing Plc is a British independent, worldwide publishing house of fiction and non-fiction. It is a constituent of the FTSE SmallCap Index. ",https://en.wikipedia.org/wiki/Bloomsbury_Publishing,http://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Bloomsbury-publishing-logo.PNG/300px-Bloomsbury-publishing-logo.PNG,http://Bloomsbury,"J. K. Rowling,Khaled Hosseini"
Scholastic Corporation,"557 Broadway New York City, New York 10012, New York, The USA","Scholastic Corporation is an American publishing, education and media company known for publishing, selling, and distributing books and educational materials for schools, teachers, parents, and children. ",https://en.wikipedia.org/wiki/Scholastic_Corporation,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Scholastic_Headquarters_by_Matthew_Bisanz.JPG/240px-Scholastic_Headquarters_by_Matthew_Bisanz.JPG,http://www.scholastic.com,"J. K. Rowling,Ernest Hemingway,George Orwell"
Pottermore,,"Pottermore is the digital publishing, e-commerce, entertainment, and news company from J.K. Rowling and is the global digital publisher of Harry Potter and J.K. Rowling's Wizarding World.",https://en.wikipedia.org/wiki/Pottermore,http://upload.wikimedia.org/wikipedia/en/thumb/6/6f/Pottermore.png/225px-Pottermore.png,http://www.pottermore.com\nshop.pottermore.com,J. K. Rowling
Pottermore,,"Pottermore is the digital publishing, e-commerce, entertainment, and news company from J.K. Rowling and is the global digital publisher of Harry Potter and J.K. Rowling's Wizarding World.",https://en.wikipedia.org/wiki/Pottermore,http://upload.wikimedia.org/wikipedia/en/thumb/6/6f/Pottermore.png/225px-Pottermore.png,http://www.pottermore.com\nshop.pottermore.com,J. K. Rowling
Palgrave Macmillan,London,"Palgrave Macmillan is an international academic and trade publishing company. Its programme includes textbooks, journals, monographs, professional and reference works in print and online.\nPalgrave Macmillan was created in 2000 when St. ",https://en.wikipedia.org/wiki/Palgrave_Macmillan,,http://www.palgrave.com,"Brandon Sanderson,Orson Scott Card,Terry Goodkind,Robert Jordan,Elie Wiesel,Steven Erikson"
Palgrave Macmillan,London,"Palgrave Macmillan is an international academic and trade publishing company. Its programme includes textbooks, journals, monographs, professional and reference works in print and online.\nPalgrave Macmillan was created in 2000 when St. ",https://en.wikipedia.org/wiki/Palgrave_Macmillan,,http://www.palgrave.com,"Brandon Sanderson,Orson Scott Card,Terry Goodkind,Robert Jordan,Elie Wiesel,Steven Erikson"
Palgrave Macmillan,London,"Palgrave Macmillan is an international academic and trade publishing company. Its programme includes textbooks, journals, monographs, professional and reference works in print and online.\nPalgrave Macmillan was created in 2000 when St. ",https://en.wikipedia.org/wiki/Palgrave_Macmillan,,http://www.palgrave.com,"Brandon Sanderson,Orson Scott Card,Terry Goodkind,Robert Jordan,Elie Wiesel,Steven Erikson"
Palgrave Macmillan,London,"Palgrave Macmillan is an international academic and trade publishing company. Its programme includes textbooks, journals, monographs, professional and reference works in print and online.\nPalgrave Macmillan was created in 2000 when St. ",https://en.wikipedia.org/wiki/Palgrave_Macmillan,,http://www.palgrave.com,"Brandon Sanderson,Orson Scott Card,Terry Goodkind,Robert Jordan,Elie Wiesel,Steven Erikson"
Palgrave Macmillan,London,"Palgrave Macmillan is an international academic and trade publishing company. Its programme includes textbooks, journals, monographs, professional and reference works in print and online.\nPalgrave Macmillan was created in 2000 when St. ",https://en.wikipedia.org/wiki/Palgrave_Macmillan,,http://www.palgrave.com,"Brandon Sanderson,Orson Scott Card,Terry Goodkind,Robert Jordan,Elie Wiesel,Steven Erikson"
Simon & Schuster,"1230 Avenue of the Americas\nRockefeller Center,\nNew York City, New York","Simon & Schuster, Inc., a division of CBS Corporation, is a publisher founded in New York City in 1924 by Richard L. Simon and M. Lincoln Schuster. It is one of the largest English-language publishers, formerly known as the ""Big 6"", now known as the ""Big Five"". It publishes over 2,000 titles annually under 35 different imprints.",https://en.wikipedia.org/wiki/Simon_%26_Schuster,http://upload.wikimedia.org/wikipedia/en/thumb/d/db/Simon_and_Schuster.svg/200px-Simon_and_Schuster.svg.png,http://www.simonandschuster.com,"Bob Woodward,Siddhartha Mukherjee,Stephen King,Ernest Hemingway,Walter Isaacson,Joshua Waitzkin,Richard Rhodes"
Simon & Schuster,"1230 Avenue of the Americas\nRockefeller Center,\nNew York City, New York","Simon & Schuster, Inc., a division of CBS Corporation, is a publisher founded in New York City in 1924 by Richard L. Simon and M. Lincoln Schuster. It is one of the largest English-language publishers, formerly known as the ""Big 6"", now known as the ""Big Five"". It publishes over 2,000 titles annually under 35 different imprints.",https://en.wikipedia.org/wiki/Simon_%26_Schuster,http://upload.wikimedia.org/wikipedia/en/thumb/d/db/Simon_and_Schuster.svg/200px-Simon_and_Schuster.svg.png,http://www.simonandschuster.com,"Bob Woodward,Siddhartha Mukherjee,Stephen King,Ernest Hemingway,Walter Isaacson,Joshua Waitzkin,Richard Rhodes"
Victor Gollancz Ltd,London,"Victor Gollancz Ltd was a major British book publishing house of the twentieth century. It was founded in 1927 by Victor Gollancz and specialised in the publication of high quality literature, nonfiction and popular fiction, including crime, detective, mystery, thriller and science fiction. ",https://en.wikipedia.org/wiki/Victor_Gollancz_Ltd,http://upload.wikimedia.org/wikipedia/en/thumb/1/1a/Victor-gollancz-logo.png/100px-Victor-gollancz-logo.png,http://www.gollancz.co.uk,Patrick Rothfuss
Penguin Group,"City of Westminster, London","The Penguin Group is a trade book publisher, part of Penguin Random House. It is owned by Pearson PLC, the global education and publishing company, and Bertelsmann, the German media conglomerate. ",https://en.wikipedia.org/wiki/Penguin_Group,http://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Penguin_logo.svg/150px-Penguin_logo.svg.png,http://PenguinGroup.com,"Patrick Rothfuss,Orson Scott Card,Stephen King,Lev Grossman,Khaled Hosseini,Eric Carle,Mario Puzo"
Bantam Spectra,"New York City, New York","Bantam Spectra is the science-fiction division of Bantam Books, which is owned by Random House.\nAccording to their website, Spectra publishes ""science-fiction, fantasy, horror, and speculative novels from recognizable authors"". ",https://en.wikipedia.org/wiki/Bantam_Spectra,,http://sf-fantasy.suvudu.com,"Robin Hobb,Isaac Asimov"
Bantam Spectra,"New York City, New York","Bantam Spectra is the science-fiction division of Bantam Books, which is owned by Random House.\nAccording to their website, Spectra publishes ""science-fiction, fantasy, horror, and speculative novels from recognizable authors"". ",https://en.wikipedia.org/wiki/Bantam_Spectra,,http://sf-fantasy.suvudu.com,"Robin Hobb,Isaac Asimov"
HarperCollins,195 Broadway\nNew York City,"HarperCollins Publishers LLC is one of the world's largest publishing companies and is part of the ""Big Five"" English-language publishing companies, alongside Hachette, Holtzbrinck/Macmillan, Penguin Random House, and Simon & Schuster. ",https://en.wikipedia.org/wiki/HarperCollins,http://upload.wikimedia.org/wikipedia/en/thumb/0/00/Harpercollins-logo.svg/250px-Harpercollins-logo.svg.png,http://harpercollins.com,"Robin Hobb,Harper Lee,Garth Nix,Amy Poehler,Maurice Sendak,Margaret Wise Brown,J. R. R. Tolkien,Meg Cabot,Shel Silverstein,Steven Levitt,Neil Gaiman"
HarperCollins,195 Broadway\nNew York City,"HarperCollins Publishers LLC is one of the world's largest publishing companies and is part of the ""Big Five"" English-language publishing companies, alongside Hachette, Holtzbrinck/Macmillan, Penguin Random House, and Simon & Schuster. ",https://en.wikipedia.org/wiki/HarperCollins,http://upload.wikimedia.org/wikipedia/en/thumb/0/00/Harpercollins-logo.svg/250px-Harpercollins-logo.svg.png,http://harpercollins.com,"Robin Hobb,Harper Lee,Garth Nix,Amy Poehler,Maurice Sendak,Margaret Wise Brown,J. R. R. Tolkien,Meg Cabot,Shel Silverstein,Steven Levitt,Neil Gaiman"
HarperCollins,195 Broadway\nNew York City,"HarperCollins Publishers LLC is one of the world's largest publishing companies and is part of the ""Big Five"" English-language publishing companies, alongside Hachette, Holtzbrinck/Macmillan, Penguin Random House, and Simon & Schuster. ",https://en.wikipedia.org/wiki/HarperCollins,http://upload.wikimedia.org/wikipedia/en/thumb/0/00/Harpercollins-logo.svg/250px-Harpercollins-logo.svg.png,http://harpercollins.com,"Robin Hobb,Harper Lee,Garth Nix,Amy Poehler,Maurice Sendak,Margaret Wise Brown,J. R. R. Tolkien,Meg Cabot,Shel Silverstein,Steven Levitt,Neil Gaiman"
HarperCollins,195 Broadway\nNew York City,"HarperCollins Publishers LLC is one of the world's largest publishing companies and is part of the ""Big Five"" English-language publishing companies, alongside Hachette, Holtzbrinck/Macmillan, Penguin Random House, and Simon & Schuster. ",https://en.wikipedia.org/wiki/HarperCollins,http://upload.wikimedia.org/wikipedia/en/thumb/0/00/Harpercollins-logo.svg/250px-Harpercollins-logo.svg.png,http://harpercollins.com,"Robin Hobb,Harper Lee,Garth Nix,Amy Poehler,Maurice Sendak,Margaret Wise Brown,J. R. R. Tolkien,Meg Cabot,Shel Silverstein,Steven Levitt,Neil Gaiman"
Del Rey Books,,"Del Rey Books is a branch of Ballantine Books, which is owned by Random House and, in turn, by Penguin Random House. It is a separate imprint established in 1977 under the editorship of author Lester del Rey and his wife Judy-Lynn del Rey. ",https://en.wikipedia.org/wiki/Del_Rey_Books,http://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Del_Rey_logo.png/150px-Del_Rey_logo.png,http://sf-fantasy.suvudu.com,"Robin Hobb, Douglas Adams,J. R. R. Tolkien"
Del Rey Books,,"Del Rey Books is a branch of Ballantine Books, which is owned by Random House and, in turn, by Penguin Random House. It is a separate imprint established in 1977 under the editorship of author Lester del Rey and his wife Judy-Lynn del Rey. ",https://en.wikipedia.org/wiki/Del_Rey_Books,http://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Del_Rey_logo.png/150px-Del_Rey_logo.png,http://sf-fantasy.suvudu.com,"Robin Hobb, Douglas Adams,J. R. R. Tolkien"
Bantam Spectra,"New York City, New York","Bantam Spectra is the science-fiction division of Bantam Books, which is owned by Random House.\nAccording to their website, Spectra publishes ""science-fiction, fantasy, horror, and speculative novels from recognizable authors"". ",https://en.wikipedia.org/wiki/Bantam_Spectra,,http://sf-fantasy.suvudu.com,"Robin Hobb,Isaac Asimov"
Bantam Spectra,"New York City, New York","Bantam Spectra is the science-fiction division of Bantam Books, which is owned by Random House.\nAccording to their website, Spectra publishes ""science-fiction, fantasy, horror, and speculative novels from recognizable authors"". ",https://en.wikipedia.org/wiki/Bantam_Spectra,,http://sf-fantasy.suvudu.com,"Robin Hobb,Isaac Asimov"
Bantam Spectra,"New York City, New York","Bantam Spectra is the science-fiction division of Bantam Books, which is owned by Random House.\nAccording to their website, Spectra publishes ""science-fiction, fantasy, horror, and speculative novels from recognizable authors"". ",https://en.wikipedia.org/wiki/Bantam_Spectra,,http://sf-fantasy.suvudu.com,"Robin Hobb,Isaac Asimov"
Palgrave Macmillan,London,"Palgrave Macmillan is an international academic and trade publishing company. Its programme includes textbooks, journals, monographs, professional and reference works in print and online.\nPalgrave Macmillan was created in 2000 when St. ",https://en.wikipedia.org/wiki/Palgrave_Macmillan,,http://www.palgrave.com,"Brandon Sanderson,Orson Scott Card,Terry Goodkind,Robert Jordan,Elie Wiesel,Steven Erikson"
Palgrave Macmillan,London,"Palgrave Macmillan is an international academic and trade publishing company. Its programme includes textbooks, journals, monographs, professional and reference works in print and online.\nPalgrave Macmillan was created in 2000 when St. ",https://en.wikipedia.org/wiki/Palgrave_Macmillan,,http://www.palgrave.com,"Brandon Sanderson,Orson Scott Card,Terry Goodkind,Robert Jordan,Elie Wiesel,Steven Erikson"
Penguin Group,"City of Westminster, London","The Penguin Group is a trade book publisher, part of Penguin Random House. It is owned by Pearson PLC, the global education and publishing company, and Bertelsmann, the German media conglomerate. ",https://en.wikipedia.org/wiki/Penguin_Group,http://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Penguin_logo.svg/150px-Penguin_logo.svg.png,http://PenguinGroup.com,"Patrick Rothfuss,Orson Scott Card,Stephen King,Lev Grossman,Khaled Hosseini,Eric Carle,Mario Puzo"
Palgrave Macmillan,London,"Palgrave Macmillan is an international academic and trade publishing company. Its programme includes textbooks, journals, monographs, professional and reference works in print and online.\nPalgrave Macmillan was created in 2000 when St. ",https://en.wikipedia.org/wiki/Palgrave_Macmillan,,http://www.palgrave.com,"Brandon Sanderson,Orson Scott Card,Terry Goodkind,Robert Jordan,Elie Wiesel,Steven Erikson"
Bantam Spectra,"New York City, New York","Bantam Spectra is the science-fiction division of Bantam Books, which is owned by Random House.\nAccording to their website, Spectra publishes ""science-fiction, fantasy, horror, and speculative novels from recognizable authors"". ",https://en.wikipedia.org/wiki/Bantam_Spectra,,http://sf-fantasy.suvudu.com,"Robin Hobb,Isaac Asimov"
